,Unnamed: 0,timestamp,screen_name,replay_to_users,replies,retweets,likes,text,geo,mentions,hashtags,user_id,tweet_url,city_id,city,lat,lng
72,72,2019-10-07 18:52:40,SF_DwayneRedd,,0,1,10,We can’t change futures by ourselves. Sometimes you need #goodneighbors to help you. @StateFarm #DE agents #JackieBrady #ZachPhillippe #RobMullen #BrianDawson were just that today. #HereToHelp @JakeStateFarm let’s send them BIG TY! – at Gunning Bedford Middle School,,@StateFarm @JakeStateFarm,goodneighbors DE JackieBrady ZachPhillippe RobMullen BrianDawson HereToHelp,1181281202281570305,https://twitter.com/SF_DwayneRedd/status/1181281202281570305,1840028614,Pike Creek Valley,39.7296,-75.6993
73,73,2019-09-27 17:57:26,Tobster60,NBCSCubs,0,0,0,@bryceharper3 Grand Slam in the 9th. ,,@bryceharper3,[],1177643422980681728,https://twitter.com/Tobster60/status/1177643422980681728,1840028614,Pike Creek Valley,39.7296,-75.6993
74,74,2019-08-08 01:21:32,Iwent2Jordan,,0,0,1,Thank god for StateFarm car insurance,,,[],1159273402240249856,https://twitter.com/Iwent2Jordan/status/1159273402240249856,1840028614,Pike Creek Valley,39.7296,-75.6993
75,75,2019-11-01 00:47:43,ItsRACoon,,1,0,4,"I’d like to thank the Shorebirds for the opportunity. On Mon, Nov. 4th I will start my new position as New Business Acquisition/Marketing Assistant at Kim Benton - State Farm Insurance. I’m excited for this new opportunity to serve my community and make new connections!",,,[],1190067861311676417,https://twitter.com/ItsRACoon/status/1190067861311676417,1840006079,Millsboro,38.5865,-75.3019
76,76,2019-07-11 20:56:49,amergezz,,0,0,0,Omg @MrMuselk I saw a State Farm ad on a billboard and it said Be a Legend and then someone wrote over the rest “And Use Code Muselk in the Item Shop” in graffiti I couldn’t get a pic but I had to tell you ,,,[],1149422315781754880,https://twitter.com/amergezz/status/1149422315781754880,1840006079,Millsboro,38.5865,-75.3019
77,77,2019-06-01 15:10:12,SmartDriveUSA,,0,0,0,Glad to be part of the Seaford @Walmart Community Safety Day. We are joined by partners from Delaware Safety Council and @StateFarm – at Walmart Supercenter,,@Walmart @StateFarm,[],1134839570770661376,https://twitter.com/SmartDriveUSA/status/1134839570770661376,1840006079,Millsboro,38.5865,-75.3019
78,78,2019-11-01 00:47:43,ItsRACoon,,1,0,4,"I’d like to thank the Shorebirds for the opportunity. On Mon, Nov. 4th I will start my new position as New Business Acquisition/Marketing Assistant at Kim Benton - State Farm Insurance. I’m excited for this new opportunity to serve my community and make new connections!",,,[],1190067861311676417,https://twitter.com/ItsRACoon/status/1190067861311676417,1840006065,Georgetown,38.6899,-75.3872
79,79,2019-07-11 20:56:49,amergezz,,0,0,0,Omg @MrMuselk I saw a State Farm ad on a billboard and it said Be a Legend and then someone wrote over the rest “And Use Code Muselk in the Item Shop” in graffiti I couldn’t get a pic but I had to tell you ,,,[],1149422315781754880,https://twitter.com/amergezz/status/1149422315781754880,1840006065,Georgetown,38.6899,-75.3872
80,80,2019-06-01 15:10:12,SmartDriveUSA,,0,0,0,Glad to be part of the Seaford @Walmart Community Safety Day. We are joined by partners from Delaware Safety Council and @StateFarm – at Walmart Supercenter,,@Walmart @StateFarm,[],1134839570770661376,https://twitter.com/SmartDriveUSA/status/1134839570770661376,1840006065,Georgetown,38.6899,-75.3872
81,81,2019-10-11 20:03:06,SF_DwayneRedd,,0,1,7,Appreciate @6abc for spending time w/ us. #goodneighbor to @mattiecstewart @CISNational @StateFarm @RedClaySchools. Working together to help students make the right choice. #TheChoiceBus #DE – at Thomas McKean High School,,@6abc @mattiecstewart @CISNational @StateFarm @RedClaySchools,goodneighbor TheChoiceBus DE,1182748480663625728,https://twitter.com/SF_DwayneRedd/status/1182748480663625728,1840028618,Pike Creek,39.7485,-75.6953
82,82,2019-10-11 13:28:48,SF_DwayneRedd,,0,2,5,Day 5 is here! #TheChoiceBus has been and will always be #goodneighbor to #DE @StateFarm @CISNational. TY @mattiecstewart for a great visit. – at Thomas McKean High School,,@StateFarm @CISNational @mattiecstewart,TheChoiceBus goodneighbor DE,1182649250502586368,https://twitter.com/SF_DwayneRedd/status/1182649250502586368,1840028618,Pike Creek,39.7485,-75.6953
83,83,2019-10-09 13:56:07,SF_DwayneRedd,nicoleAalvarez,0,0,2,We appreciate you for spending your morning with us. Means a lot to have your support. Please tell state Senator @SokolaDavid we said thank you and hello. @SF_MariaJ @StateFarm – at George Read Middle School,,@SokolaDavid @SF_MariaJ @StateFarm,[],1181931350594609152,https://twitter.com/SF_DwayneRedd/status/1181931350594609152,1840028618,Pike Creek,39.7485,-75.6953
84,84,2019-10-07 18:52:40,SF_DwayneRedd,,0,1,10,We can’t change futures by ourselves. Sometimes you need #goodneighbors to help you. @StateFarm #DE agents #JackieBrady #ZachPhillippe #RobMullen #BrianDawson were just that today. #HereToHelp @JakeStateFarm let’s send them BIG TY! – at Gunning Bedford Middle School,,@StateFarm @JakeStateFarm,goodneighbors DE JackieBrady ZachPhillippe RobMullen BrianDawson HereToHelp,1181281202281570305,https://twitter.com/SF_DwayneRedd/status/1181281202281570305,1840028618,Pike Creek,39.7485,-75.6953
85,85,2019-09-27 17:57:26,Tobster60,NBCSCubs,0,0,0,@bryceharper3 Grand Slam in the 9th. ,,@bryceharper3,[],1177643422980681728,https://twitter.com/Tobster60/status/1177643422980681728,1840028618,Pike Creek,39.7485,-75.6953
86,86,2019-08-08 01:21:32,Iwent2Jordan,,0,0,1,Thank god for StateFarm car insurance,,,[],1159273402240249856,https://twitter.com/Iwent2Jordan/status/1159273402240249856,1840028618,Pike Creek,39.7485,-75.6953
87,87,2019-12-13 05:53:15,EliSeeney,rose_statefarm,0,0,0,Love it ,,,[],1205365041563930624,https://twitter.com/EliSeeney/status/1205365041563930624,1840005570,Claymont,39.8032,-75.4606
88,88,2019-12-11 07:14:22,EliSeeney,rose_statefarm,0,0,0, yo you’re too good at this,,,[],1204660680307159040,https://twitter.com/EliSeeney/status/1204660680307159040,1840005570,Claymont,39.8032,-75.4606
89,89,2019-12-11 07:05:15,EliSeeney,rose_statefarm,1,0,1, yooooo that’s actually perfect ,,,[],1204658388547907584,https://twitter.com/EliSeeney/status/1204658388547907584,1840005570,Claymont,39.8032,-75.4606
90,90,2019-11-11 23:58:17,pinkflamingo511,,1,0,1,@StateFarm kudos for my help today. Needed a tow from my house to the mechanic. The ease of getting that done was so appreciated.,,@StateFarm,[],1194041689599619074,https://twitter.com/pinkflamingo511/status/1194041689599619074,1840005570,Claymont,39.8032,-75.4606
91,91,2019-10-25 12:40:32,vickymiller007,,0,0,0,@GEICO_Service the lizard refused to acknowledge my claim so I moved on but thanks State Farm was half the price,,@GEICO_Service,[],1187710534352850944,https://twitter.com/vickymiller007/status/1187710534352850944,1840005570,Claymont,39.8032,-75.4606
92,92,2019-10-19 13:10:23,Larry_Pell,,0,0,5,"James Harden and CP3 hate each other now, Aaron Rodgers broke his collarbone back in 2017 and now Mahomes is hurt. Maybe there’s a new curse in town, the State Farm curse. ",,,[],1185543720332152833,https://twitter.com/Larry_Pell/status/1185543720332152833,1840005570,Claymont,39.8032,-75.4606
93,93,2019-10-18 08:19:30,Dr_BrianMD,,0,0,1,I fear Patrick Mahomes appearing in a State Farm commercial with Aaron Rodgers has passed whatever black magic curse that plagued him on.,,,[],1185108126028173312,https://twitter.com/Dr_BrianMD/status/1185108126028173312,1840005570,Claymont,39.8032,-75.4606
94,94,2019-10-11 20:03:06,SF_DwayneRedd,,0,1,7,Appreciate @6abc for spending time w/ us. #goodneighbor to @mattiecstewart @CISNational @StateFarm @RedClaySchools. Working together to help students make the right choice. #TheChoiceBus #DE – at Thomas McKean High School,,@6abc @mattiecstewart @CISNational @StateFarm @RedClaySchools,goodneighbor TheChoiceBus DE,1182748480663625728,https://twitter.com/SF_DwayneRedd/status/1182748480663625728,1840005570,Claymont,39.8032,-75.4606
95,95,2019-10-11 13:28:48,SF_DwayneRedd,,0,2,5,Day 5 is here! #TheChoiceBus has been and will always be #goodneighbor to #DE @StateFarm @CISNational. TY @mattiecstewart for a great visit. – at Thomas McKean High School,,@StateFarm @CISNational @mattiecstewart,TheChoiceBus goodneighbor DE,1182649250502586368,https://twitter.com/SF_DwayneRedd/status/1182649250502586368,1840005570,Claymont,39.8032,-75.4606
96,96,2019-10-09 13:56:07,SF_DwayneRedd,nicoleAalvarez,0,0,2,We appreciate you for spending your morning with us. Means a lot to have your support. Please tell state Senator @SokolaDavid we said thank you and hello. @SF_MariaJ @StateFarm – at George Read Middle School,,@SokolaDavid @SF_MariaJ @StateFarm,[],1181931350594609152,https://twitter.com/SF_DwayneRedd/status/1181931350594609152,1840005570,Claymont,39.8032,-75.4606
97,97,2019-09-27 17:57:26,Tobster60,NBCSCubs,0,0,0,@bryceharper3 Grand Slam in the 9th. ,,@bryceharper3,[],1177643422980681728,https://twitter.com/Tobster60/status/1177643422980681728,1840005570,Claymont,39.8032,-75.4606
98,98,2019-09-22 21:13:52,biogeek7,DavidHaydnJones,0,0,1,Hmmmmm Irving,,,[],1175880916922720264,https://twitter.com/biogeek7/status/1175880916922720264,1840005570,Claymont,39.8032,-75.4606
99,99,2019-09-08 22:51:57,SwarthmoreDems,SenTimKearney,0,0,0,You’ve gotta be kitten me. Those puns are pawsitively awful.,,,[],1170832171151568896,https://twitter.com/SwarthmoreDems/status/1170832171151568896,1840005570,Claymont,39.8032,-75.4606
